Broadway/Hogan	Broadway/Hogan residence hall community
American Medical Students Association (CUAMSA)	CU AMSA seeks to promote activism through understanding of our healthcare system increase awareness of health issues educate students about the social & ethical obligations of the medical profession and enhance pre-health campus life at Columbia!
American Red Cross at Columbia University (CU Red Cross or ARCC)	The purpose of American Red Cross at Columbia University to is provide relief to victims of disasters and help people prevent prepare for and respond to emergencies both locally and abroad.
American Society of Civil Engineers (ASCE)	The Columbia University Chapter of the American Society of Civil Engineers is a pre-professional club dedicated to all students interested in Civil Engineering Structural Engineering and Construction Management at Columbia University.
American Society of Mechanical Engineers (ASME)	The Columbia Chapter of the American Society of Mechanical Engineers.
American Student Investment Association (ASISC)	Our organization is a society focused on Investment and Finance industry. We hold networking events and information sessions which are promoted through our weekly newsletter.
Amnesty International (Amnesty)	Columbia Amnesty International strives to carry out the goals of the larger Amnesty organization through speakers panels lobbying film screenings arts nights and other events to raise awareness and petition for human rights issues.
Anime Club (Anime)	The Columbia Anime Club is devoted to the promotion of anime (a style of Japanese animation) manga (comics) and Japanese popular culture at Columbia University. The club holds weekly meetings and seasonal movie screenings.
Apostolos Campus Ministry (ACM)	This organization has not yet updated their description.
Application Development Initiative	"ADI is a student group at Columbia that aims to foster a community of students interested in technology. We hold events every week, plan Columbia's yearly DevFest hackathon, and host several programs  throughout the year including ADI Labs and ADI Foundry. For more information, please visit adicu.com.   Tags: Application Development Initiative, ADI Labs, ADI Foundry"
Armenian Society of Columbia University (ASCU)	ASCU aims at promoting Armenian culture and heritage at Columbia University and developing a network of students and alumni interested in Armenian culture and history.
ArtC	No information on website.
Artist Society	Artist Society is dedicated to providing a space for artistic expression on campus. A student-run art club we host free twice-weekly figure drawing sessions for students and faculty with live models art supplies and snacks.
Artists Reaching Out (ARO)	ARO brings arts education to K-5th grade students at nearby schools who presently have limited opportunities for enrichment in the arts. Volunteer commitment of 4 hours/week Friday afternoons off-campus.
ASB: NYC Performing Arts	Alternative Spring Break Program for undergraduate students focused on the NYC performing arts community.
Asian American Alliance (AAA)	The Asian American Alliance (AAA) is a student organization that strives to promote understanding foster dialog and create a sense of awareness within the Asian Pacific American community at Columbia University.
Asian Constituency Group	The Asian Constituency Group is coordinated by Columbia Universityäó»s Office of Multicultural Affairs (OMA) in an effort to support students groups within the Asian Community.
Asian Pacific American Heritage Month (APAHM)	APAHM commits itself to organizing programming for the month of April Columbia's Asian Pacific American Heritage Month in order to bring broader awareness of the Asian American/APIA community and its rich history to campus.
Asian Youth Program (AYP)	AYP  in collaboration with a shelter for women and children displaced by domestic violence brings student mentors together with a group of affected Asian youth.
Association for Computing Machinery (ACM)	The Columbia University Association for Computing Machinery (ACM) was founded in hopes of showing the many facets of computer science and information technology to the Columbia University community appealing both to majors and non-majors alike.
Association of Negotiation and Conflict Resolution Students (ANCoRS)	ANCoRS is Columbia University's interschool peace and conflict resolution student organization.
Atheist and Agnostic Students Society	A religious/spiritual group recognized through SGB.
Bacchanal	Bacchanal is a student group dedicated to throwing fun interesting events for students.  We host the spring concert every year as well as various other campus activities.
Bach Society (Bach Soc)	Columbia's premier orchestral and choral ensemble committed to prolonging and inspiring greater appreciation for the works of Bach and other great Western composers through performance.
Badminton	We welcome badminton players of all levels! From new beginners to experienced pros there's a place for you. We are comprised of (1) a general badminton club open to everyone and (2) a competition team that represents Columbia against other schools.
Baha'i Club (Bahai)	The Baha'iClub is a student group whose membership is not confined to members of the Baha'i Faith.  It organizes regular diverse activities open to all.  Its main purposes are to bring people together in a spirit of friendship to promote independent a
Ballroom Dance (Ballroom)	"CU Ballroom is Columbia University's ballroom dance club, open for anyone to join, no experience or partner necessary. Learn to dance tango, chacha, salsa, and more from professional instructors, and become a part of Columbia's most welcoming and vibrant student group. To learn more about CU Ballroom and how to join, visit cuballroom.com or email cuballroom@gmail.com.  Tags: CU Ballroom, CUBDC\"
Barnard/Columbia International Socialist Organization (ISO)	We are a group of students and other members of the Columbia & Barnard community who agree on the need to build a socialist alternative in order to fight for social justice against oppression and war and for a world that puts people before profits.   Tags: Barnard Columbia Socialists
Barnard+Columbia Architecture Society (B+C|A)	B+C Architecture Society provides a forum for students interested in architecture to experience the subject within New York City tour regional firms become involved in an annual publication and design campus-wide architectural installations.
Barnard-Columbia Design for America (BC-DFA)	No information on website. 
Barnard-Columbia Public Health Society (BCUPHS)	This organization has not yet updated their description.
Best Buddies	Best Buddies is the Columbia and Barnard chapter of a national nonprofit dedicated to helping individuals with intellectual disabilities. At CU the organization is operated under Community Impact at Columbia University.
Beta Theta Pi (Beta)	Beta Theta Pi is a social fraternity that strives for the cultivation of the intellect. The Alpha Alpha chapter in particular carries with it a long tradition of academic excellence boasting an average GPA of at least 3.6 for the past 4 years.
Beyond the Box Initiative (BTB Initiative)	The main goal of the Beyond the Box Initiative at Columbia will be to provide a support system for prospective and current Columbia students who have been impacted by the criminal justice system either personally or through a loved one.
Bhakti Club (Bhakti)	Mindful Wednesdays is a weekly meeting through the Bhakti Club in order to promote mindfulness and health on Columbia's Campus. The meditation sessions are completely free no commitment is required and all are welcome to attend regardless of experience.
Big SIBS	Big SIBS is a program that pairs Columbia/Barnard students with youth from the Morningside Heights community. Big SIBS foster relationships where both participant and volunteer can grow together share experiences and develop trust and friendship.
Biomedical Engineering Society (BMES)	"Declaring a ""BME major"" is easy but deciding what to do next can be harder. BMES helps make the process smoother. We do this with career selection panels internship postings possible career paths and general advice on how to enjoy your time in BME."
Black Constituency Group	The Black Constituency Group is coordinated by Columbia University's Office of Multicultural Affairs (OMA) in an effort to support students groups within the Black Community.
Black History Month (BHM)	The celebration of the history achievements contributions and culture of the communities of the African Diasporas.
Black Students Organization (BSO)	Black Student Organization is a group that provides support discussion and solutions to the Columbia and greater NYC Black communities.
Black Theater Ensemble (BTE)	"The Black Theatre Ensemble is an ABC recognized student organization on Columbia University's campus. Our mission is to provide a platform for the visibility of black theatre, art and student artists within the African Diaspora at Columbia University.  Contact: kachiiwu@yahoo.com"
Bowling Club (Bowling)	Sports club dedicated to promoting the awareness skills/fundamentals and overall interest of bowling.
Brazilian Jiu Jitsu (Jiu Jitsu)	"The Columbia University Brazilian Jiu-Jitsu Club ()is one of the oldest collegiate BJJ clubs in the world. The club's instructors provide a curriculum which emphasizes fundamental, universal concepts of submission and control, while also exploring cutting-edge developments in modern sport techniques. Our club is dedicated to preserving a safe and friendly atmosphere. A positive attitude and willingness to learn are all that are required to train with us. Come see what we're all about!  Contact: gkjohns@gmail.com Tags: BJJ club, jiu-jitsu, grappling"
Brazilian Society	This organization has not yet updated their description.
Break the Silence	This organization has not yet updated their description.
Buddhism for Global Peace (BGP)	"The Columbia BGP is a group promoting the importance of world peace and the need for youth to take on this mission from a young age. We are based on a wonderful philosophy of Nichiren Buddhism which promotes value-creation through peace, culture and education. We have energizing discussions in one-hour long weekly meetings where we discuss how we can make that effort and be a part of this global movement.  Contact: imcurtis@gmail.com; sk4085@tc.columbia.edu"
Camp Kesem Columbia	Camp Kesem is a college student run summer camp for kids with a parent who has (or has had) cancer. Our one-week sleep away camps are completely free and provide kids ages 6-16 with a chance to have a fun-filled week and just be kids!
Campus Media Watch (CMW)	This organization has not yet updated their description.
Canterbury Club (Episcopalian Society)	Supporting Episcopal and Anglican Students from Columbia University
Capoeira	An Afro-Brazilian game with roots in dance and martial arts.
Caribbean Students Association (CSA)	We host weekly discussions and events relevant to Caribbean Students and our members. We run the There Is Hope Campaign which focuses on childhood education and empowerment. This year our initiative culminates in a community service trip to St. Lucia.
Carlton Arms 600 Harmony	Carlton Arms 600 Harmony
Carman	Carman residence hall community
CC 2013	The Class of '13 student council in charge of planning great events for seniors.
CC 2015	As the Senior Class Council we are dedicated to making sure that the Class of 2015 has a memorable final year at Columbia through policy work and event planning. Our guiding principles are Connections Transparency and of course fun.
CCSC Campus Life Committee (CLC)	The Campus Life arm of the Columbia College Student Council.  Run under the VP of Campus Life the Campus Life Committee (CLC) aims to inspire involve and invigorate the Columbia community.
Central Asian Student Association (CASA)	Central Asian Students Association is an  activist group recognized through SGB.
Chabad Student Network (Chabad)	A Jewish organization affiliated with the Chabad House on campusand a partnership between students and faculty to help create innovative programming plan social action projects promote awareness activities and offer volunteer opportunities.
Chandler Society for Undergraduate Chemistry (Chandler)	A group of involved chemistry-inclined and fun students who do outreach provide support for each other and put on a large lecture every year (the Grandpierre lecture). 
Highlights include: liquid nitrogen and occasional free pizza.	
Charles Drew Pre-Medical Society (Charles Drew)	The Charles Drew Premedical Society is an organization that strives to guide support and encourage premedical students with a special emphasis on underrepresented minorities in their various endeavors to become members of the medical field.  Contact: hlw2123@columbia.edu
Chess Club (Chess)	Our organization creates a space for players on campus to play chess together on campus organizes intercollegiate matches sets up lectures and simultaneous exhibitions on campus and sends our strongest players to national tournaments.
ChicanX Caucus	Chicanx Caucus seeks to provide its members who self-identify as Chicano Mexican or Mexican-American with an environment that will help them to promote their cultural consciousness and to help them become active in serving the needs of their community.
Chinese Bible Study Group	Columbia Chinese Bible Study Group (CCBSG)
Chinese Students Club (CSC)	The Chinese Students Club commonly known as CSC is one of the largest cultural groups on campus. CSC is dedicated to promoting Chinese culture and identity to the Columbia community through events that range from social mixers to political forums.
Chowdah Sketch Comedy Group (Chowdah)	Columbia's oldest best and only sketch comedy group.
Christians on Campus	A student group to share the gospel of Jesus Christ and to encourage spiritual growth through reading of the Bible the Word of God
Circle K	A Kiwanis sponsored club that is focused on improving the New York City community through service leadership and fellowship.
Class of 2015 Engineering Student Council (ESC 2015)	The elected officials representing the Columbia Engineering Class of 2015.
Club Bangla (CB)	Club Bangla is a cultural group where both Non-Bengalis and Bengalis from Bangladesh and the state of West Bengal in India can come together to celebrate the common rich Bengali culture heritage and language.
Club Sports Governing Board (CSGB)	This organization has not yet updated their description.
Club Zamana (Zamana)	Columbia's South Asian Cultural Club
Code Orange	The Columbia Code Orange is concerned with ensuring social justice by addressing health and other disparities for individuals living in South Asia with a particular emphasis on Pakistan.
College Libertarians (Libertarians)	The mission of the Columbia University Libertarians is to promote through educational and political activity the principles of libertarianism.
College Road	Volunteers assist adult education students in conducting college searches and applying to college.
ColorCode: Technology & Entrepreneurship	Our mission has always been political in nature. We aim to use technology and entrepreneurship as tools to envision and build anti-racist anti-sexist anti-oppressive futures.
Columbia Against Cancer (CAC)	Colleges Against Cancer (CAC) is a nationwide collaboration of college students faculty and staff dedicated to eliminating cancer by working to implement the programs and mission of the American Cancer Society
Columbia Aquanauts (Aquanauts)	The Columbia Aquanauts is an interdisciplinary group of students at Columbia University that share a common goal of creating sustainable solutions for global water resource management. We aim to achieve this goal through mentored research groups and comm
Columbia Association of Pre-Dental Students (CAPS)	The Columbia Association of Pre-Dental Students is an organization that seeks to foster student interest and involvement in the dental field. Our events include dental panels community service projects dental school tours and shadowing opportunities.
Columbia Ballet Collaborative (CBC)	CBC holds auditions for our biannual performances that include works by both professional and student choreographers. In addition CBC participates in outreach programs in NYC public schools and holds free weekly ballet classes for the CU community.
Columbia Blue Glaze Theatre (CBGT)	A performance group recognized through IGB.
Columbia CatarACT (Cataract)	This organization has not yet updated their description.
Columbia Catholic Undergraduates (CCU)	Columbia Catholic Undergraduate is a community of Columbians who believe the truths proclaimed by Jesus Christ through His Catholic Church and who strive to integrate this Catholic faith into our daily lives.
Columbia Child Rights (CCR)	Columbia Child Rights is an on campus organization dedicated to raising awareness on the Convention on the Rights of the Child. It aims to ensure these rights by supporting international efforts on this issue while volunteering with a local conscience.
Columbia China Dance (CCD)	The members of CCD are students who wish to share their enthusiasm for the art and culture of Chinese traditional dance. The purpose of the Club is to provide the community with opportunities to learn and practice Chinese traditional dance.
Columbia China Law & Business Association (CCLBA)	"The Columbia-China Law and Business Association (CCLBA) is a preprofessional organization on Columbia University campus that promotes greater knowledge of the impacts of other economies such as China's on our careers. We prepare you for careers in business, finance, and law. We educate you on the tremendous economic growth in China and other Asian economies - and how that affects you.  Contact: julia.wang@columbia.edu"
Columbia Classical Performers (CCP)	"Founded in 2001, Columbia Classical Performers seeks to bring together the community of classical musicians on campus who wish to perform in an intimate, stress-free environment for their peers.  Contact: cyl2136@columbia.edu"
Columbia Clefhangers (Clefs)	"The Columbia Clefhangers (aka ""Clefs"") are students at Columbia University who form a shockingly hot contemporary co-ed a cappella group in New York City."
COLUMBIA COALITION	This organization has not yet updated their description.
Columbia College 2018 Class Council (CC' 18)	The Class of 2018 officials of the Columbia College Student Council.
Columbia College 2019 Student Council (CCSC 2019)	As the Class of 2019 student council we work as hard as we can to make the Class of 2019 happy.  We also collaborate with various groups and offices of Columbia University to initiate policy and program events.
Columbia College 2020 Student Council (CCSC 20)	CC'20
Columbia College Student Council (CCSC)	The Columbia College Student Council is the elected undergraduate student government body representing students in Columbia College.
Columbia Community Outreach (CCO)	Columbia Community Outreach (CCO) coordinates Columbia University's largest day of community service which unites students faculty and alumni alike.
Columbia Crown and Cross	The Columbia Crown & Cross is a journal of Christian thought. It exists for the purpose of fostering deep Christian thought among the members of Columbia community.
Columbia Culture Initiative (CCI)	The Columbia Cultural Initiative is a project aimed at assessing the cultural climate of the Columbia Morningside campus.
Columbia Data Science Society (CDSS)	The Columbia Data Science Society is a group of like-minded students seeking to build inter-school relationships and prepare students for the interdisciplinary nature of data science. Please visit our website http://cdss.club
Columbia Divest for Climate Justice (Divest)	Barnard Columbia Divest! is a coalition of students and community members from Columbia University as a whole dedicated to divesting our schools' endowments from the fossil fuel industry. Why?!! Check out http://barnardcolumbiadivest.org/
Columbia Dorm Room Diplomacy (DRD)	DRD seeks to foster a community of dialogue and debate on campus about Middle East issues and facilitates direct communication between Columbia students and students in the Middle East.
Columbia East Asia Review (CEAR)	An annual online and print peer-review academic journal dedicated to furthering knowledge of East Asia and Southeast Asia through the promotion of research and interdisciplinary dialogue
Columbia EAT	Columbia EAT provides students with curated reviews of the best bars restaurants and events throughout NYC.  Highlighting educated and specialized interactions with the city our monthly publication caters exclusively to the Columbia community.
Columbia Economics Society (Econ Society)	Our organization is the largest pre-professional society in Columbia focused on the finance and consulting industry. We hold networking events case challenges and site visits which are promoted through our weekly newsletter.
Columbia Elections Board	Columbia Elections Board operates and improves all elections for three Columbia student councils - CCSC ESC and GSSC.
Columbia Engineers Without Borders (EWB)	EWB-USA Columbia supports community-driven development programs worldwide by collaborating with local partners to design and implement sustainable engineering projects while creating transformative experiences and responsible leaders.
Columbia eSports	The intent of this club is to meet people who share a love of PC video games that are played competitively such as StarCraft II League of Legends DOTA2 etc. and compete with and against them in an enjoyable social environment.
Columbia European Society (CES)	Columbia European Society shall provide CU students with opportunities to learn more about European culture including cinema music gastronomy history art and literature and shall promote European affairs by organizing events.
Columbia Faith and Action (CFA)	We are Columbia Faith and Action (CFA) a Christian fellowship serving the undergrads at Columbia University. Some of the cool things we do include Bible Courses one-on-ones with Ministry Fellows retreats conferences and other awesome events.
Columbia Financial Investment Group (CFIG)	Columbia's largest undergraduate finance organization dedicated to the discussion of financial markets. In our biweekly meetings we host industry speakers discuss the financial markets and prepare for interviews.
Columbia Graduate Council (CGC)	Columbia Graduate Council (CGC)
Columbia Humanist Society (CHS)	Columbia Humanist Society (CHS) is the premiere organization on campus promoting Humanism as a core founding principal. CHS combines weekly philosophical discussion on pertinent issues of the day with public service and political activism.
Columbia Investment Banking Division	Columbia Investment Banking Division
Columbia iQ (CUIQ)	Columbia iQ (CUIQ) is an affinity group of Lesbian Gay Bisexual Transgender and Queer (LGBTQ) undergraduate students at Columbia University that seek to foster queer and trans leadership and community in various fields.
Columbia Iranian Students Association (CISA)	CISA is a non-political and non-religious organization open to people of all races and ethnicities. The purpose of this organization is to direct and organize functions meetings and events that promote the exposure of Iranian culture and customs.  We promote persian culture on campus through events.
Columbia Japan Society (CJS)	"Columbia Japan Society is an undergraduate organization of Columbia University, run by and composed entirely of students. We are dually recognized by the University under the Activities Board of Columbia and the Student Governing Association. Our purpose is to introduce and spread aspects of Japanese culture to the Columbia community, bridging the gap between East and West. We use a variety of events to foster an appreciation for the nation's unique blend of tradition and modernity.  Contact:  japansociety@columbia.edu"
Columbia Journal of Literary Criticism (CJLC)	CJLC aims to offer a trans-disciplinary forum favoring critical thinking and uniting students in the Humanities engaging them on a variety of topics all tied in some way to critical literary or political theory or simply literature.
Columbia Linguistics Society (Columbia-Linguistics)	The Columbia Linguistics Society is a group on campus for students interested in the academic study of language.
Columbia Mentoring Initiative (CMI)	The OMA Columbia Mentoring Initiative (CMI) is an inter-generational mentorship program that connects first years (mentees) with returning students (mentors) and all students with alumni.
Columbia Mock Trial (Mock Trial)	Mock Trial is a competitive activity in which teams simulate a real trial. The activity requires students to think critically about the law analyze and interpret legal facts speak compellingly and work well on their feet.
Columbia Model Congress (Model Congress)	CMC: One of Columbia's premier competition groups and we annually organize a High School Congressional Simulation where students from around the US create and debate legislation to work constructively on political solutions for today's pressing issues.
Columbia Musical Theater Society (CMTS)	The Columbia Musical Theatre society is Columbia's largest musical theatre group on campus. With multiple productions of Broadway revivals each semester students from all schools participate on stage and behind-the-scenes.
Columbia Neuroscience Society (CNS)	"The Columbia Neuroscience Society (CNS) aims to create a community among undergraduate students with an interest in neuroscience. It hosts a variety of events, from lectures with nobel-prize winning professors to social events to large research symposiums where you can find a lab to join. It also aims to forge better connections between underclassmen and upperclassmen, and with relevant faculty members. Contact: hcm2130@columbia.edu"
Columbia New Music (CNM)	Encountering new ways of listening challenging convention and promoting unprejudiced open-mindedness through the collaborative sharing of ideas and experience. New music offers an expanding and limitless medium through which to explore the soundscape.
Columbia Organization of Rising Entrepreneurs (CORE)	"The Columbia Organization of Rising Entrepreneurs (CORE) aims to foster entrepreneurship at Columbia and educate, inspire, and launch the next generation of entrepreneurs. We continue to witness an enormous growth of interest in entrepreneurship on campus, and we are constantly looking for ways to satisfy this curiosity. We run our own startup accelerator, visit startups abroad on our Global Tech Treks, host speakers such as will.i.am, DJ Khaled, and Arianna Huffington, and so much more.  Contact: coreboard@columbia.edu"
Columbia Outdoor Orientation Program (COOP)	"COOP is Columbia's Outdoor Orientation Program that occurs before the week of NSOP. We focus on not only introducing students to Columbia through the beauty of nature, but also ensuring that they have a warm and welcoming community on campus to refer to.  Contact: kem2212@columbia.edu"
Columbia Parliamentary Debate Society (Parli)	From competing at parliamentary debate tournaments around the country to participating in paid public debates to doing volunteer work the debate team represents the best of what Columbia student societies have to offer. Contact: columbiadebate@gmail.com
Columbia Peer Health Exchange (PHE)	PHE gives teenagers the knowledge and skills they need to make healthy decisions. We do this by training college students to teach health workshops in public high schools that lack health education.
Columbia Photography Association (CPA)	CPA is a group of students dedicated to providing the Columbia community with quality photography services. The group also aims to foster photography talent on campus and building a community around professional photography for students.
Columbia Political Union (CPU)	As Columbia's only multi-partisan political organization CPU works with  undergraduate political groups to increase political involvement create a forum for discussion and debate cover campus politics. Visit us at columbiapolitics.org for more.
Columbia Pops	Columbia Pops is äóìthe outlet of expression for Columbiaäó»s classical instrument hobbyists interested in exploring popular music.äó
Columbia Por Colombia	Columbia PorColombia is an organization that seeks to unite students of Colombian Heritage and students interested in learning about Colombia within the Columbia community. Contact: Juan Jose Guzman UNI: jjg2192
Columbia Q&A (Queer&Asian) (CU Q&A)	Columbia Q&A is applying for recognition as an official student organization in order to access resources to better serve the needs of queer and Asian students on campus and to raise awareness surrounding queer and Asian experiences.
Columbia Queer Alliance (CQA)	The first college queer group in the United States the Columbia Queer Alliance has orchestrated pioneering activism fostered community and advocated for LGBTQA students since 1967.
Columbia Queer Business Society	The premier business group for LGBT undergraduates at Columbia University. The CQBS aims to de-stigmatize and dispel misconceptions about being out in the professional world.
Columbia Quest Scholars Network (QSN)	An identity-conscious group recognized by the SGB.
Columbia Raas (CU Raas)	Established in 2003 CU Raas is a high-energy Raas/Garba dance team that competes and performs on-campus and nationally. CU Raas strives to be an exciting addition to the diversity of dance styles and cultural experiences available at Columbia.
Columbia Review	The Columbia Review is the oldest college literary magazine in the nation. The Review is published twice a year and and publishes submissions from writers and artists not affiliated with Columbia.
Columbia Right to Life (Columbia RTL)	The mission of Columbia Right to Life is to organize and activate pro-life students on campus. We work to protect the dignity of human life from conception to natural death particularly those lives threatened by abortion. @ColumbiaRTL
Columbia Science Review (CSR)	"When CSR was founded, there was no science publication group that sought to bring science and the general public closer. Therefore, CSR founded a science publication that was to be created and read by the Columbia community. Due to the jargon and technicalities inherent in scientific writing, science articles are often difficult to understand and frustrating to read. For this reason, CSR aims to publish easy-to-read articles that can be understood by an audience of various backgrounds.  Contact: rhn2105@columbia.edu"
Present an open platform for students to publish their opinions thoughts and insight on scientific topics.	
Columbia SHARP A Cappella (SHARP)	SHARP is Columbia University's newest all-male a cappella group.
Columbia Space Initiative (CSI)	Columbia Space Initiative (CSI) consists of students of all backgrounds and majors dedicated to advancing space technology through the pursuit of technical projects and space-related programming.
Columbia Sports Business Club	The purpose of the Columbia Sports Business Club is to educate and assist those interested in the sports industry and to promote networking and professional opportunities among its members.
Columbia Student Global AIDS Campaign (SGAC)	CUSGAC is dedicated to enhancing the role of Columbia Students in the fight against HIV/AIDS through campus awareness leadership training informed political advocacy and direct action.
Columbia Students for Animal Protection (CSAP)	The Columbia Vegan Society is an academic community that seeks to engage students and professionals on topics related to bioethics sustainability and public health.
Columbia Students For Christ (CSFC)	Columbia Students for Christ is a Christian fellowship affiliated with Cru and we seek to challenge the Columbia campus with the Gospel of Jesus to share the love of Jesus to train by the example of Jesus and to make disciples of Jesus.
Columbia Students for International Service (CSIS)	CSIS is a body that aids service groups in administrative requirements by connecting current and fledgling groups on-campus in a network that facilitates group operations and engages students in relevant dialogue about international service.
Columbia Students for Southeast Asian Development & Service (SEADS)	SEADS (Columbia Students for Southeast Asian Development & Service) seeks to engage students in Southeast Asian history current events & culture by connecting them to local and international academic social cultural and humanitarian opportunities.
Columbia Students in Energy (CSE)	This organization has not yet updated their description.
Columbia Super Smash Bros. Club (Smash Club)	A club devoted to playing games from the Super Smash Bros. series. We host events where anyone can show up and play. Come Smash with us!
Columbia TCCA (Columbia University Tzu Chi Collegiate Association)	The Columbia University Tzu Chi Collegiate Association (TCCA) is the Columbia University section of the Buddhist Compassion Relief Tzu Chi Foundation.
Columbia Television (CTV)	CTV is a campus television station dedicated to giving student information and opportunities to exlpore film/television work on campus. We braodcast to all televisions on campus and hold a large impressive alumni base.
Columbia Turkish Students (CTS)	CTS is an undergraduate student organization that brings together the Turkish community as well as introducing Turkish culture to the general student body at Columbia University.
Columbia University Apartheid Divest (CUAD)	"We, as members of Columbia University Students for Justice in Palestine and Jewish Voice for Peace, come together as Columbia University Apartheid Divest to call for the University to divest its stocks, funds, and endowment from companies that profit from the State of Israel's ongoing system of settler colonialism, military occupation, and apartheid law. This campaign is embedded in the larger Boycott, Divestment, and Sanctions (BDS) movement.""Contact: jpj2122@columbia.edu  Tags: CUAD"
Columbia Undergraduate Consulting Club (CUCC)	Columbia University's only undergraduate preprofessional organization devoted to helping students advance their pursuit of careers in consulting.
Columbia Undergraduate Film Productions (CUFP)	Film production club for undergraduate Columbia University students.
Columbia Undergraduate Law Review (CULR)	An organization that promotes the discussion and publication of undergraduate legal scholarship and law-related ideas.
Columbia Undergraduate Science Journal (CUSJ)	The Columbia Undergraduate Science Journal is a professional-level open-access science journal that is committed to publishing manuscripts of the highest scholarship resulting from significant scientific research or outstanding scientific analysis.
Columbia Unhooked	Columbia Unhooked seeks to reflect on social and cultural issues regarding sexual integrity. Our aim is to engage students to build healthy relationships on campus and to promote a greater conversation on love and the forms it can take.
Columbia UNICEF	Columbia UNICEF is part of a national coalition of student-led campus groups that educate advocate and fundraise on behalf of UNICEF with the end goal of improving the quality of life of children worldwide.
Columbia United Against Inequities in Disease (UAID)	United Against Inequities in Disease (UAID) is a national organization that empowers students and communities to eliminate health inequities.
Columbia University Art of Living (CAL)	The purpose of the Columbia Art of Living (CAL) is to create a stress free energetic and joyful campus community ready to face the challenges of academic life and beyond
